100,30026,1.0101e+06
110,33161,1.34321e+06
120,45174,1.74252e+06
130,55084,2.21403e+06
140,121921,2.76374e+06
150,132657,3.39765e+06
160,96480,4.12176e+06
170,122783,4.94207e+06
180,129989,5.86458e+06
190,146822,6.89529e+06
200,181128,8.0402e+06
210,210105,9.30531e+06
220,223104,1.06966e+07
230,261333,1.22201e+07
240,303098,1.38818e+07
250,343710,1.56878e+07
260,389778,1.76439e+07
270,435596,1.97562e+07
280,467788,2.20307e+07
290,515157,2.44734e+07
300,640536,2.70903e+07
310,802282,2.98874e+07
320,2.13405e+06,3.28707e+07
330,2.721e+06,3.60462e+07
340,3.00111e+06,3.94199e+07
350,2.88086e+06,4.29979e+07
360,1.28268e+06,4.6786e+07
370,1.5308e+06,5.07903e+07
380,2.10072e+06,5.50168e+07
390,2.89889e+06,5.94715e+07
400,6.56624e+06,6.41604e+07
410,3.68355e+06,6.90895e+07
420,1.97372e+06,7.42648e+07
430,1.80088e+06,7.96923e+07
440,1.97657e+06,8.5378e+07
450,2.1792e+06,9.1328e+07
460,2.28033e+06,9.75481e+07
470,3.23662e+06,1.04044e+08
480,2.88591e+06,1.10823e+08
490,4.69388e+06,1.1789e+08
500,6.17916e+06,1.25251e+08
